 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-06-50-409312-20bc4ee538dc-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [arm-1] [INFO] [1698538014.563320959] [arm]: Starting Arm server
trials-all-1  | [robot-6] [INFO] [1698538014.580678672] [robot]: Starting Robot server
trials-all-1  | [environment-3] [INFO] [1698538014.593995452] [environment]: Starting Environment server
trials-all-1  | [arm-1] [INFO] [1698538014.624546947] [arm]: Arm server started
trials-all-1  | [environment-3] [INFO] [1698538014.647814562] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698538014.654097458] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698538014.675935097] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698538014.684080962] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698538014.749660877] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698538014.799823047] [coordinator]: Starting Coordinator server
trials-all-1  | [nurse-4] [INFO] [1698538014.826927599] [nurse]: Starting Nurse server
trials-all-1  | [coordinator-2] [INFO] [1698538014.850927202] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698538014.855690123] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698538014.892767510] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698538014.908835244] [nurse]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698538014.969759236] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698538014.989231914] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698538015.036744129] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698538015.898325893] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538016.915583101] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538017.942123174] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538018.956777461] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538019.969248802] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538020.981683161] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698538021.993025556] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538023.004001975] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538024.017510370] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698538024.825433148] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698538024.841924878] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698538025.029264812] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538026.049728129] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538026.387478613] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698538026.433808856] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698538026.447064640] [coordinator]: Planing
