 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-15-52-379743-132a60d39ac7-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [arm-1] [INFO] [1698542155.914796132] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698542155.982679244] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698542155.992388830] [arm]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698542156.111995748] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698542156.142140468] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698542156.150041132] [nurse]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698542156.214195406] [coordinator]: Starting Coordinator server
trials-all-1  | [environment-3] [INFO] [1698542156.218365229] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698542156.250900847] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698542156.283748451] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698542156.296134925] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698542156.551240087] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698542156.588974484] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698542156.598242090] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698542156.644611120] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698542156.718378986] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698542156.734684293] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698542156.779307398] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698542157.337400707] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542158.351925689] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542159.369489606] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542160.392251366] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542161.414485212] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542162.424849622] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698542163.439132930] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542164.452668331] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542165.466082800] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698542165.941528862] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698542165.966678808] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698542166.032531048] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698542166.071212428] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698542166.079870066] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698542166.090238631] [coordinator]: Planing
trials-all-1  | [nurse-4] [INFO] [1698542166.095541409] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698542166.104834020] [coordinator]: Creating plan for: robot1, nurse1, arm1 
