 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-15-13-450890-0c9d72003a0a-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [robot-6] [INFO] [1698542117.284190811] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698542117.358756170] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698542117.364742877] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698542117.417855284] [nurse]: Starting Nurse server
trials-all-1  | [environment-3] [INFO] [1698542117.441875111] [environment]: Starting Environment server
trials-all-1  | [nurse-4] [INFO] [1698542117.456374402] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698542117.461141170] [nurse]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698542117.479516272] [coordinator]: Starting Coordinator server
trials-all-1  | [environment-3] [INFO] [1698542117.502536148] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698542117.542921176] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698542117.548178919] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698542117.553547657] [nurse]: Nurse clients started
trials-all-1  | [arm-1] [INFO] [1698542117.557546462] [arm]: Starting Arm server
trials-all-1  | [nurse-4] [INFO] [1698542117.561842252] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698542117.585686088] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698542117.593730695] [arm]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698542117.624401197] [arm]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698542117.683034334] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698542118.594791853] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542119.608801455] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542120.621725185] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542121.633211061] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542122.646717915] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542123.657096996] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698542124.670380012] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542125.680721245] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542126.693203449] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698542127.397246563] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698542127.414799719] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698542127.706877671] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542128.727211648] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542129.354759535] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698542129.395549579] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698542129.408368965] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698542129.426425099] [coordinator]: Planing
