 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-53-58-736188-c1ea4948debc-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [arm-1] [INFO] [1698530042.374149834] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698530042.405944030] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698530042.416435095] [arm]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698530042.427399162] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698530042.469501422] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698530042.513266692] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698530042.555551952] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698530042.565319012] [robot]: Starting Robots clients
trials-all-1  | [coordinator-2] [INFO] [1698530042.568494032] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698530042.633560433] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698530042.646412512] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698530042.730906033] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698530042.751096157] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698530042.778242325] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698530042.784405363] [nurse]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698530042.830790648] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698530042.866913871] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698530042.879106946] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698530043.679336830] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530044.699529995] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530045.719029083] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530046.737689094] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530047.758062041] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530048.774517892] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698530049.794199690] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530050.812595407] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530051.829749046] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698530052.757226123] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698530052.772368206] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698530052.847857618] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530053.863561105] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530054.477508383] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698530054.513842576] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698530054.526545644] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698530054.539787714] [coordinator]: Planing
