 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-53-18-962162-b2c4388174ec-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [nurse-4] [INFO] [1698530002.823207495] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698530002.901366487] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698530002.920707733] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698530003.119592247] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698530003.164421812] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698530003.195994211] [coordinator]: Starting Coordinator server
trials-all-1  | [arm-1] [INFO] [1698530003.239086754] [arm]: Starting Arm server
trials-all-1  | [robot-6] [INFO] [1698530003.260794028] [robot]: Starting Robot server
trials-all-1  | [coordinator-2] [INFO] [1698530003.269876142] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698530003.282222298] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698530003.310745657] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698530003.326462856] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698530003.326844860] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698530003.333851949] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698530003.390531663] [arm]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698530003.398517764] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698530003.521645316] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698530003.540875559] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698530004.359033845] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530005.373300517] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530006.386071085] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530007.405726652] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530008.426304143] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530009.445759535] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698530010.465161841] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530011.482573036] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530012.498254126] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698530013.263884185] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698530013.280104376] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698530013.516427160] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530014.531021067] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530014.925023676] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698530014.961380101] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698530014.966821164] [coordinator]: Sending response
