 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-01-01-118866-b1f02ff58827-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698534064.915532060] [environment]: Starting Environment server
trials-all-1  | [arm-1] [INFO] [1698534064.922231950] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698534064.967701203] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698534064.980441994] [arm]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698534064.984758923] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698534065.027182226] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698534065.086764247] [coordinator]: Coordinator server started
trials-all-1  | [nurse-4] [INFO] [1698534065.088256222] [nurse]: Starting Nurse server
trials-all-1  | [coordinator-2] [INFO] [1698534065.100820016] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698534065.135697443] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698534065.142408332] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698534065.179569722] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698534065.229798897] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698534065.239439738] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698534065.286239969] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698534065.302727698] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698534065.465405026] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698534065.486703676] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698534066.137689980] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534067.150939328] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534068.165820647] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534069.182879926] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534070.199104216] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534071.219395435] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698534072.238697668] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534073.254137961] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534074.270007243] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698534074.698453192] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698534074.716487895] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698534075.286209517] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534076.306950713] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534077.157372710] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698534077.206499901] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698534077.218965695] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698534077.233743452] [coordinator]: Planing
