 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-56-09-451920-bc4340349d33-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698530173.001627840] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698530173.055065168] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698530173.070890265] [coordinator]: Starting Coordinator clients
trials-all-1  | [environment-3] [INFO] [1698530173.138027676] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698530173.168845864] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698530173.398790272] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698530173.430444466] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698530173.435763499] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698530173.471972720] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698530173.510267955] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698530173.527111058] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698530173.561500269] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698530173.595563477] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698530173.604828534] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698530173.639353745] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698530173.746330400] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698530173.757923471] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698530173.814343817] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698530174.099315555] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530175.119116720] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530176.136400798] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530177.156619822] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530178.178107780] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530179.199364666] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698530180.216408456] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530181.228095144] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530182.240250766] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530183.253000320] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698530183.341887803] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698530183.356406882] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698530184.265992806] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530185.095732251] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698530185.143512504] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698530185.154644563] [coordinator]: Sending response
