 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-03-15-683193-9a9972cba34c-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698534199.181965286] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698534199.265434959] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698534199.280997711] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698534199.602201605] [arm]: Starting Arm server
trials-all-1  | [environment-3] [INFO] [1698534199.616011385] [environment]: Starting Environment server
trials-all-1  | [arm-1] [INFO] [1698534199.653120795] [arm]: Arm server started
trials-all-1  | [environment-3] [INFO] [1698534199.663038637] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698534199.663719627] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698534199.680359362] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698534199.751285234] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698534199.770378931] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698534199.813897239] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698534199.966348815] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698534200.021871932] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698534200.050657475] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698534200.055005406] [nurse]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698534200.119722376] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698534200.146485951] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698534200.325434105] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534201.338882987] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534202.355120820] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534203.371472648] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534204.389398445] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534205.403224304] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698534206.416282171] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534207.431392001] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534208.447079817] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698534209.367247152] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698534209.390498781] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698534209.461406651] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534210.478209441] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534211.351305519] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698534211.390787889] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698534211.402572701] [coordinator]: Sending response
