 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-12-02-529659-d18ed5c6bb5c-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [nurse-4] [INFO] [1698538326.499165755] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698538326.539384259] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698538326.551959104] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698538326.665938700] [robot]: Starting Robot server
trials-all-1  | [environment-3] [INFO] [1698538326.701928257] [environment]: Starting Environment server
trials-all-1  | [coordinator-2] [INFO] [1698538326.704003231] [coordinator]: Starting Coordinator server
trials-all-1  | [arm-1] [INFO] [1698538326.710295154] [arm]: Starting Arm server
trials-all-1  | [robot-6] [INFO] [1698538326.737946813] [robot]: Robot server started
trials-all-1  | [arm-1] [INFO] [1698538326.741595768] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698538326.752056639] [arm]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698538326.762899506] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698538326.763930493] [robot]: Starting Robots clients
trials-all-1  | [coordinator-2] [INFO] [1698538326.788567190] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698538326.798350069] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698538326.818399822] [arm]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698538326.873872139] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698538326.890053939] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698538326.909877695] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698538327.841460226] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538328.854848758] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538329.869023290] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538330.880651863] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538331.892772438] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538332.905136019] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698538333.917236613] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538334.928477226] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538335.940531839] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698538336.225029359] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698538336.246416097] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698538336.953541448] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538337.974714967] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538338.577790602] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698538338.621059073] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698538338.642615810] [coordinator]: Planing
