 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-11-23-312915-3ffd609af231-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [arm-1] [INFO] [1698538287.020151569] [arm]: Starting Arm server
trials-all-1  | [environment-3] [INFO] [1698538287.024914546] [environment]: Starting Environment server
trials-all-1  | [arm-1] [INFO] [1698538287.074554302] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698538287.084887252] [arm]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698538287.089873227] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698538287.144902957] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698538287.169556836] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698538287.173691816] [nurse]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698538287.261220386] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698538287.303537179] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698538287.310851143] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698538287.325812069] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698538287.367592864] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698538287.372540840] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698538287.391220748] [arm]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698538287.420345605] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698538287.497145228] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698538287.520745113] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698538288.337504102] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538289.351502118] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538290.366464124] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538291.381428124] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538292.393471133] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538293.404898139] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698538294.416899137] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538295.427794135] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538296.441801112] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698538296.882122929] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698538296.902243830] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698538297.452945097] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538298.474715025] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538299.318674831] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698538299.532497767] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698538299.536753746] [coordinator]: Sending response
