 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-20-10-762225-19e294e077a1-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [arm-1] [INFO] [1698542414.589358903] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698542414.638859377] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698542414.655551863] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698542414.737160346] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698542414.803746293] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698542414.815609928] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698542414.934215271] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698542414.962707392] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698542414.975499998] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698542415.144904780] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698542415.166727108] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698542415.200657063] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698542415.235968976] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698542415.243630740] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698542415.273418822] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698542415.289331332] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698542415.846363178] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698542416.207545063] [arm]: robot service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698542416.267488220] [robot]: coordinator service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542416.858542040] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698542417.221721877] [arm]: robot service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698542417.286831877] [robot]: coordinator service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698542417.730617244] [arm]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698542417.830701169] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698542417.870203956] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542418.894905509] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542419.912546317] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542420.930004169] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698542421.946672084] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542422.961524092] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542423.979495042] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698542424.487546564] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698542424.513302780] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698542424.827246216] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698542424.856023339] [coordinator]: Receiving message of nurse1 in room3.
