 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-02-46-114963-5cb2bc4c66bf-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698530569.578906625] [environment]: Starting Environment server
trials-all-1  | [nurse-4] [INFO] [1698530569.607740715] [nurse]: Starting Nurse server
trials-all-1  | [environment-3] [INFO] [1698530569.610841725] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698530569.659053876] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698530569.670979913] [nurse]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698530569.826576401] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698530569.874507551] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698530569.884272582] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698530570.214972605] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698530570.240655684] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698530570.244227695] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698530570.284411819] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698530570.321929934] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698530570.331165962] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698530570.528682569] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698530570.913639752] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698530570.984231969] [nurse]: robot service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698530571.352766080] [robot]: coordinator service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530571.926937809] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698530571.996695020] [nurse]: robot service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698530572.373749133] [robot]: coordinator service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530572.953678844] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698530573.016962030] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698530573.033611078] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698530573.179148499] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698530573.973958797] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530574.997276695] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530576.018023523] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698530577.038048285] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530578.057878984] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530579.077147620] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698530579.406864454] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698530579.434658525] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698530580.097218196] [coordinator]: planner sync service not available, waiting again...
