 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-10-29-566369-790b2e72591a-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [arm-1] [INFO] [1698534633.712086836] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698534633.748635053] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698534633.757588862] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698534633.797981997] [coordinator]: Starting Coordinator server
trials-all-1  | [environment-3] [INFO] [1698534633.815886614] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698534633.858919693] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698534633.872510402] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698534633.876902308] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698534633.887754076] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698534633.939233974] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698534633.943715878] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698534633.947441799] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698534633.983344030] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698534633.998336709] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698534634.023953161] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698534634.061450359] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698534634.079210979] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698534634.105855409] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698534634.912396152] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534635.933979299] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534636.954027485] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534637.974555668] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534638.995689844] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534640.017589009] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698534641.037653220] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534642.057367445] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534643.072592772] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698534643.669831025] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698534643.687380651] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698534644.090111056] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534645.110040294] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534645.704780608] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698534645.857250356] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698534645.870737068] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698534645.888150697] [coordinator]: Planing
