 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-57-42-207787-38ef2afbc4a1-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [nurse-4] [INFO] [1698530265.595777078] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698530265.625572239] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698530265.637883306] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698530265.672956495] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698530265.703656661] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698530265.719531747] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698530265.835031372] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698530265.886238649] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698530265.892288681] [coordinator]: Starting Coordinator clients
trials-all-1  | [environment-3] [INFO] [1698530266.121607913] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698530266.154065087] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698530266.162816133] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698530266.191306286] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698530266.195110306] [robot]: Starting Robots clients
trials-all-1  | [coordinator-2] [INFO] [1698530266.921363184] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698530267.195535635] [nurse]: robot service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698530267.217100749] [robot]: coordinator service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698530267.270698032] [arm]: robot service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530267.935154535] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698530268.210939975] [nurse]: robot service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698530268.229983074] [robot]: coordinator service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698530268.285724365] [arm]: robot service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698530268.724426648] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698530268.736069709] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698530268.793923010] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698530268.954423846] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698530269.026607220] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698530269.979936118] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530271.001135299] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530272.022597410] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698530273.038222423] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530274.049996349] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530275.064568219] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698530275.386994747] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698530275.417559892] [planner]: Planner server started
