 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-05-24-282319-97c13ca1e852-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698534327.666251221] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698534327.713002553] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698534328.030637012] [coordinator]: Starting Coordinator server
trials-all-1  | [nurse-4] [INFO] [1698534328.064945521] [nurse]: Starting Nurse server
trials-all-1  | [coordinator-2] [INFO] [1698534328.083335258] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698534328.094637096] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698534328.103594968] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698534328.111330858] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698534328.134027533] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698534328.159084175] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698534328.170346014] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698534328.290429296] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698534328.323557822] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698534328.329580736] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698534328.441749132] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698534328.451427993] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698534328.451593991] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698534329.119378439] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698534329.354774071] [robot]: coordinator service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534330.141072818] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698534330.367968570] [robot]: coordinator service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698534330.924520602] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698534331.161895202] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534332.185208543] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534333.209462863] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534334.227048271] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698534335.245969652] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534336.262342063] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534337.277953478] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698534338.007985990] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698534338.031639650] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698534338.114790454] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698534338.148222974] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698534338.159253815] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698534338.166784707] [coordinator]: Sending response
