 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-14-13-182409-6532ee472cca-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698538456.732044767] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698538456.773515394] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698538456.862397595] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698538456.897768277] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698538456.909361173] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698538456.939253904] [coordinator]: Starting Coordinator server
trials-all-1  | [robot-6] [INFO] [1698538456.953628775] [robot]: Starting Robot server
trials-all-1  | [nurse-4] [INFO] [1698538456.981083528] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698538457.011058258] [nurse]: Nurse server started
trials-all-1  | [coordinator-2] [INFO] [1698538457.014396228] [coordinator]: Coordinator server started
trials-all-1  | [robot-6] [INFO] [1698538457.019776180] [robot]: Robot server started
trials-all-1  | [coordinator-2] [INFO] [1698538457.025243131] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698538457.026089123] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698538457.046511940] [nurse]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698538457.092314528] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698538457.104956414] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698538457.115209322] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698538457.207373494] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698538458.057453852] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538459.077244688] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538460.095757537] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538461.113068400] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538462.128449283] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538463.145866150] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698538464.162238028] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538465.177714918] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538466.194895794] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538467.213217663] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538468.229815549] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698538469.170444119] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698538469.192777919] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698538469.243691462] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538470.260156355] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538471.273923274] [coordinator]: planner sync service not available, waiting again...
