 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-13-37-258600-ea34c33decf9-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [arm-1] [INFO] [1698538420.793719452] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698538420.829462245] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698538420.836554204] [arm]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698538420.839694186] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698538420.869282015] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698538420.889270899] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698538420.898216847] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698538420.936955623] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698538420.946933566] [robot]: Starting Robots clients
trials-all-1  | [environment-3] [INFO] [1698538420.996238281] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698538421.018640151] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698538421.129755508] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698538421.187391175] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698538421.229955928] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698538421.236146893] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698538421.255659780] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698538421.429807772] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698538421.456931615] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698538422.265457936] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538423.278928067] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538424.299151154] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538425.315692259] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538426.327682387] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698538427.340037509] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538428.352209627] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538429.363958745] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698538430.121930335] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698538430.142992213] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698538430.443595463] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698538430.475889275] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698538430.481648242] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698538430.491038187] [coordinator]: Planing
trials-all-1  | [nurse-4] [INFO] [1698538430.492473179] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698538430.497693148] [coordinator]: Creating plan for: robot1, nurse1, arm1 
