 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-21-44-433795-e144d49a2162-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [arm-1] [INFO] [1698542508.022412124] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698542508.065696176] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698542508.072224033] [arm]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698542508.103363351] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698542508.134144677] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698542508.142063504] [nurse]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698542508.253880055] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698542508.290323256] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698542508.299648052] [coordinator]: Starting Coordinator clients
trials-all-1  | [environment-3] [INFO] [1698542508.426826266] [environment]: Starting Environment server
trials-all-1  | [robot-6] [INFO] [1698542508.450970738] [robot]: Starting Robot server
trials-all-1  | [environment-3] [INFO] [1698542508.458583571] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698542508.483753020] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698542508.490266877] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698542508.526005094] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698542508.695976371] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698542508.705516162] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698542509.322525654] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698542509.621478112] [arm]: robot service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542510.346765246] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698542510.633430978] [arm]: robot service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698542510.891641333] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698542511.375607758] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542512.390135603] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542513.403689489] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542514.418574365] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698542515.432384285] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542516.445192246] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542517.459806188] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698542517.618703735] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698542517.827099206] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698542518.474485147] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542519.494877003] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542520.335872766] [coordinator]: Coordinator clients started
