 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-04-57-119336-d535102da191-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [nurse-4] [INFO] [1698530700.461925113] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698530700.483400134] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698530700.490454141] [nurse]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698530700.693808344] [coordinator]: Starting Coordinator server
trials-all-1  | [arm-1] [INFO] [1698530700.713979364] [arm]: Starting Arm server
trials-all-1  | [coordinator-2] [INFO] [1698530700.753438403] [coordinator]: Coordinator server started
trials-all-1  | [arm-1] [INFO] [1698530700.765111415] [arm]: Arm server started
trials-all-1  | [coordinator-2] [INFO] [1698530700.774386424] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698530700.775780426] [arm]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698530701.062707708] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698530701.085076729] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698530701.168933808] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698530701.196124833] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698530701.200718838] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698530701.240246875] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698530701.313474944] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698530701.318209948] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698530701.332647962] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698530701.810311411] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530702.828481322] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530703.843407173] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530704.857574966] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530705.870813701] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530706.888255383] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698530707.905313007] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530708.922093574] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530709.940670085] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698530710.647062401] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698530710.668451411] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698530710.959500540] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530711.978118937] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530712.811116216] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698530712.849718229] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698530712.859288232] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698530712.874018237] [coordinator]: Planing
