 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-12-04-479763-8880973b0b01-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698534728.009886414] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698534728.062247451] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698534728.073656242] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698534728.398490268] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698534728.454662235] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698534728.459389148] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698534728.469777957] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698534728.501581372] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698534728.515654113] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698534728.589298758] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698534728.620741180] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698534728.625588091] [robot]: Starting Robots clients
trials-all-1  | [environment-3] [INFO] [1698534728.627102063] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698534728.656329526] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698534728.681869056] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698534728.783607185] [nurse]: Nurse clients started
trials-all-1  | [arm-1] [INFO] [1698534728.813722631] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698534728.817012571] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698534729.113257122] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534730.132968369] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534731.155262568] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534732.180073721] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534733.202223923] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534734.223353143] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698534735.244385366] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534736.261696657] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534737.278465958] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698534738.265013815] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698534738.288038392] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698534738.296935228] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534739.311734566] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534740.169903784] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698534740.206514111] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698534740.216887920] [coordinator]: Sending response
