 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-21-39-876838-87b91691933a-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [53]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [55]
trials-all-1  | [INFO] [environment-3]: process started with pid [57]
trials-all-1  | [INFO] [nurse-4]: process started with pid [59]
trials-all-1  | [INFO] [planner-5]: process started with pid [61]
trials-all-1  | [INFO] [robot-6]: process started with pid [63]
trials-all-1  | [coordinator-2] [INFO] [1698538903.239319601] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698538903.284089321] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698538903.294469024] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698538903.433550048] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698538903.469260027] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698538903.482186658] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698538903.651877806] [arm]: Starting Arm server
trials-all-1  | [environment-3] [INFO] [1698538903.658265624] [environment]: Starting Environment server
trials-all-1  | [arm-1] [INFO] [1698538903.683694897] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698538903.690971689] [arm]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698538903.700977403] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698538903.814463158] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698538903.835885546] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698538903.840076426] [robot]: Starting Robots clients
trials-all-1  | [coordinator-2] [INFO] [1698538904.330209427] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698538904.733941901] [arm]: robot service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698538904.789688310] [nurse]: robot service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698538904.856634399] [robot]: coordinator service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538905.346117439] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698538905.746516024] [arm]: robot service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698538905.801263463] [nurse]: robot service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698538905.869929506] [robot]: coordinator service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538906.360516535] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698538906.562133795] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698538906.570545556] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698538906.756632259] [arm]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698538906.903323083] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698538907.376960614] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538908.390325823] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538909.402464107] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698538910.421454238] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538911.434288585] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538912.443614072] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698538912.745415553] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698538912.769993859] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698538913.052008900] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698538913.087403902] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698538913.102076489] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698538913.106407367] [coordinator]: Sending response
trials-all-1  | [nurse-4] [INFO] [1698538913.119927986] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698538913.138518462] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698538913.159991856] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698538913.176810382] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698538913.188009067] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698538913.202485659] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698538913.208850479] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698538913.213160358] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538913.217419238] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698538913.242481531] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538913.247673385] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698538913.266921842] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698538913.272224693] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538913.290479178] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698538913.295326042] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538913.301587865] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698538913.326716157] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698538913.334758930] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
