 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-20-59-05-909941-89636c7e4409-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [robot-6] [INFO] [1698526749.838988023] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698526749.885116607] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698526749.893557531] [robot]: Starting Robots clients
trials-all-1  | [environment-3] [INFO] [1698526750.418877725] [environment]: Starting Environment server
trials-all-1  | [nurse-4] [INFO] [1698526750.447786460] [nurse]: Starting Nurse server
trials-all-1  | [environment-3] [INFO] [1698526750.473684222] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698526750.494320032] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698526750.505092933] [nurse]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698526750.609445974] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698526750.692263213] [coordinator]: Coordinator server started
trials-all-1  | [robot-6] [INFO] [1698526750.708037068] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698526750.716881987] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698526750.847251789] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698526750.883689454] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698526750.942271916] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698526750.973826626] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698526750.982767544] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698526751.750877343] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698526752.034887674] [arm]: robot service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698526752.761347722] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698526753.057660876] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698526753.775481871] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698526754.790016821] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698526755.803623586] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698526756.816831161] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698526757.844698389] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698526758.854911607] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698526759.866360621] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698526760.414768572] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698526760.435781339] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698526760.879588423] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698526761.900007953] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698526762.254247916] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698526762.270867726] [coordinator]: Receiving message of nurse1 in room3.
