 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-15-10-135995-f8910eefc30a-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [nurse-4] [INFO] [1698534914.455712626] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698534914.492177077] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698534914.507280849] [nurse]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698534914.819096152] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698534914.881922206] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698534914.887812117] [coordinator]: Starting Coordinator clients
trials-all-1  | [environment-3] [INFO] [1698534914.952331145] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698534914.992603539] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698534915.206366317] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698534915.233776904] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698534915.238279836] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698534915.316910651] [robot]: Starting Robot server
trials-all-1  | [nurse-4] [INFO] [1698534915.364779930] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698534915.374370785] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698534915.374428785] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698534915.384012640] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698534915.421529075] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698534915.530148438] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698534915.928891429] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534916.946338090] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534917.963882743] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534918.980813398] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534919.997786046] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534921.015550676] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698534922.029321360] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534923.041599059] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534924.054494743] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698534924.326861623] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698534924.355544189] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698534925.066325436] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534926.085933006] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534926.451836466] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698534926.489282899] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698534926.500041736] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698534926.512061554] [coordinator]: Planing
