 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-09-12-684720-1c04e654bd58-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [robot-6] [INFO] [1698530956.294086555] [robot]: Starting Robot server
trials-all-1  | [coordinator-2] [INFO] [1698530956.340965932] [coordinator]: Starting Coordinator server
trials-all-1  | [robot-6] [INFO] [1698530956.376200968] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698530956.388631333] [robot]: Starting Robots clients
trials-all-1  | [coordinator-2] [INFO] [1698530956.432758630] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698530956.438115788] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698530956.587921191] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698530956.623587239] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698530956.633392527] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698530956.680225904] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698530956.713761890] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698530956.783951953] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698530956.806904627] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698530956.812078779] [arm]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698530956.847237813] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698530956.925502113] [nurse]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698530956.935460406] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698530956.950477847] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698530957.463956890] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530958.477938532] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530959.491165043] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530960.505523476] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530961.518132749] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530962.528731855] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698530963.542030930] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530964.552095803] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530965.565538664] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698530966.372431566] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698530966.387527994] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698530966.577048362] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530967.591575037] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530968.462250559] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698530968.494026452] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698530968.504317742] [coordinator]: Sending response
