 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-17-23-339670-537fcc24efb8-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698535047.113597456] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698535047.150535155] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698535047.219332596] [coordinator]: Starting Coordinator server
trials-all-1  | [arm-1] [INFO] [1698535047.232771487] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698535047.268688195] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698535047.287020046] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698535047.318793788] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698535047.323556749] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698535047.343620586] [robot]: Starting Robot server
trials-all-1  | [nurse-4] [INFO] [1698535047.353331507] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698535047.396453157] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698535047.407632066] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698535047.407911064] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698535047.419856967] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698535047.488958405] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698535047.501679302] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698535047.505362272] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698535047.589095591] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698535048.365051278] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535049.377503022] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535050.391908729] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535051.405147427] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535052.417155113] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535053.430018773] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698535054.441960420] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535055.453548050] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535056.466265651] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698535057.036853912] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698535057.055221759] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698535057.479966224] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535058.492688784] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535059.082933858] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698535059.115032590] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698535059.122361528] [coordinator]: Sending response
