 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-16-44-262055-dadaf566a0d8-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [nurse-4] [INFO] [1698535008.246660616] [nurse]: Starting Nurse server
trials-all-1  | [environment-3] [INFO] [1698535008.267413305] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698535008.294102904] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698535008.294180903] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698535008.301939786] [nurse]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698535008.464188350] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698535008.516742560] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698535008.521260492] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698535008.556655961] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698535008.611918131] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698535008.620576001] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698535008.657296450] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698535008.697263849] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698535008.702884765] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698535008.747165100] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698535008.877619141] [nurse]: Nurse clients started
trials-all-1  | [arm-1] [INFO] [1698535008.909426663] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698535008.926960400] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698535009.552269006] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535010.567151755] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535011.578337553] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535012.591645313] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535013.606117049] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535014.617377826] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698535015.628986592] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535016.641313340] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535017.654382071] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698535018.409959678] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698535018.432047345] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698535018.665604823] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535019.684090459] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535020.273518564] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698535020.306872061] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698535020.312543975] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698535020.321819835] [coordinator]: Planing
