 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-25-29-215140-1185b0a6f952-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698539132.667252772] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698539132.723432883] [coordinator]: Coordinator server started
trials-all-1  | [robot-6] [INFO] [1698539132.731708752] [robot]: Starting Robot server
trials-all-1  | [coordinator-2] [INFO] [1698539132.747883496] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698539132.786682882] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698539132.797960703] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698539132.942308419] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698539132.969023996] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698539132.974667907] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698539133.056658610] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698539133.079402250] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698539133.113303714] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698539133.184417590] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698539133.215437100] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698539133.225851935] [arm]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698539133.256295454] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698539133.275698147] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698539133.301313742] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698539133.793230964] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539134.814332831] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539135.835972705] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539136.859382567] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539137.883033439] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539138.903088384] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698539139.922949346] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539140.943534312] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539141.967163246] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698539142.380221768] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698539142.474118296] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698539142.988165235] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539144.010796214] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539144.872819722] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698539144.910512132] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698539144.922406946] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698539144.935706738] [coordinator]: Planing
