 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-11-25-602678-e320bde50d02-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [51]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [53]
trials-all-1  | [INFO] [environment-3]: process started with pid [55]
trials-all-1  | [INFO] [nurse-4]: process started with pid [57]
trials-all-1  | [INFO] [planner-5]: process started with pid [59]
trials-all-1  | [INFO] [robot-6]: process started with pid [61]
trials-all-1  | [coordinator-2] [INFO] [1698531089.461631871] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698531089.556682134] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698531089.571430486] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698531089.718530989] [arm]: Starting Arm server
trials-all-1  | [robot-6] [INFO] [1698531089.734575371] [robot]: Starting Robot server
trials-all-1  | [nurse-4] [INFO] [1698531089.747529679] [nurse]: Starting Nurse server
trials-all-1  | [arm-1] [INFO] [1698531089.762520036] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698531089.766474130] [arm]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698531089.782516512] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698531089.791418724] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698531089.807412105] [environment]: Starting Environment server
trials-all-1  | [robot-6] [INFO] [1698531089.816501322] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698531089.822677469] [robot]: Starting Robots clients
trials-all-1  | [environment-3] [INFO] [1698531089.845701017] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698531089.876634754] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698531090.059442102] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698531090.100166068] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698531090.125101659] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698531090.613670248] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531091.626906223] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531092.641843140] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531093.655372927] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531094.671304674] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531095.686481305] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698531096.697504744] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531097.709067099] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531098.721851386] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698531099.098213021] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698531099.116348436] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698531099.734248569] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531100.755855866] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531101.347729317] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698531101.388313238] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698531101.406160642] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698531101.419219939] [coordinator]: Planing
trials-all-1  | [nurse-4] [INFO] [1698531101.423071026] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698531101.445148527] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698531101.455477761] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698531101.465613991] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698531101.478464283] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698531101.500750788] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698531101.507074932] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698531101.522841290] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531101.529801447] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698531101.545830811] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531101.553024974] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698531101.569783354] [planner]: a_approach_arm,robot1,arm1
