 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-10-46-153452-c150328173d6-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698531049.997349617] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698531050.044015807] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698531050.051149989] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698531050.206041938] [nurse]: Starting Nurse server
trials-all-1  | [robot-6] [INFO] [1698531050.225781441] [robot]: Starting Robot server
trials-all-1  | [nurse-4] [INFO] [1698531050.234732669] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698531050.240818824] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698531050.280274830] [environment]: Starting Environment server
trials-all-1  | [robot-6] [INFO] [1698531050.294688198] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698531050.302336393] [robot]: Starting Robots clients
trials-all-1  | [environment-3] [INFO] [1698531050.342978429] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698531050.373619210] [arm]: Starting Arm server
trials-all-1  | [robot-6] [INFO] [1698531050.380990398] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698531050.402889956] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698531050.410448149] [arm]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698531050.444609020] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698531050.580866493] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698531050.603825079] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698531051.090439476] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531052.102114157] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531053.112815713] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531054.124577195] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531055.137780613] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531056.149531894] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531057.161783088] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698531058.173175160] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531059.185021144] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531060.196760026] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698531060.290681329] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698531060.306283711] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698531061.209750839] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531062.318242876] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698531062.343304486] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698531062.352655713] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698531062.367874083] [coordinator]: Planing
