 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-28-19-025542-9c72754b3397-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [robot-6] [INFO] [1698539302.394088450] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698539302.456813579] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698539302.466082450] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698539302.751382488] [arm]: Starting Arm server
trials-all-1  | [nurse-4] [INFO] [1698539302.769744233] [nurse]: Starting Nurse server
trials-all-1  | [arm-1] [INFO] [1698539302.778988104] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698539302.783786038] [arm]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698539302.809883675] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698539302.820808524] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698539302.845391182] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698539302.881394682] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698539302.905046354] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698539302.934948938] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698539302.949732733] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698539303.015459820] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698539303.078016952] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698539303.122645333] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698539303.141431072] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698539303.982393401] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539304.997391325] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539306.010837282] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539307.024704243] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539308.037920224] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539309.049315241] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698539310.074256081] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539311.085484122] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539312.096491176] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698539312.552220893] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698539312.568280672] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698539313.113103163] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539314.129977157] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539314.714030118] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698539314.748887638] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698539314.762564450] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698539314.778535230] [coordinator]: Planing
