 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-05-51-642139-03696c4521ff-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698527155.460194325] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698527155.555811939] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698527155.559553963] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698527155.657582593] [robot]: Starting Robot server
trials-all-1  | [arm-1] [INFO] [1698527155.701856877] [arm]: Starting Arm server
trials-all-1  | [robot-6] [INFO] [1698527155.724150020] [robot]: Robot server started
trials-all-1  | [arm-1] [INFO] [1698527155.731522067] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698527155.736745101] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698527155.755340220] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698527155.762551267] [nurse]: Starting Nurse server
trials-all-1  | [environment-3] [INFO] [1698527155.774688345] [environment]: Starting Environment server
trials-all-1  | [nurse-4] [INFO] [1698527155.796580485] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698527155.808891564] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698527155.841801776] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698527155.867265939] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698527155.880747026] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698527155.896399126] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698527156.045241073] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698527156.599838518] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527157.614484691] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527158.632643667] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527159.646306401] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527160.659233916] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527161.673085220] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698527162.685511304] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527163.697452172] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527164.708444823] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698527165.465774163] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698527165.483763241] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698527165.722366274] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527166.746655555] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527167.362608021] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698527167.400564169] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698527167.412003214] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698527167.427971277] [coordinator]: Planing
