 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-05-12-320291-10c9009b9022-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [nurse-4] [INFO] [1698527116.486856163] [nurse]: Starting Nurse server
trials-all-1  | [arm-1] [INFO] [1698527116.502169262] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698527116.526924422] [arm]: Arm server started
trials-all-1  | [nurse-4] [INFO] [1698527116.542213520] [nurse]: Nurse server started
trials-all-1  | [arm-1] [INFO] [1698527116.544395534] [arm]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698527116.568969693] [nurse]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698527116.659437276] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698527116.706703581] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698527116.726608709] [coordinator]: Starting Coordinator clients
trials-all-1  | [environment-3] [INFO] [1698527116.794855149] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698527116.830706380] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698527116.908627882] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698527116.960251215] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698527116.966327254] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698527117.011680545] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698527117.095062065] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698527117.118748212] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698527117.142059358] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698527117.752694164] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527118.768083332] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527119.780828266] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527120.792808980] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527121.804716478] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527122.816796762] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698527123.828497829] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527124.841853690] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527125.853084327] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698527126.585002538] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698527126.601273609] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698527126.865881758] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527127.886204006] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527128.497180430] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698527128.532766570] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698527128.543652613] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698527128.555172658] [coordinator]: Planing
