 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-13-41-327422-c3e3ee6cec4f-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698531225.044391571] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698531225.068506124] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698531225.077957341] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698531225.150284001] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698531225.168532420] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698531225.210128374] [coordinator]: Starting Coordinator server
trials-all-1  | [nurse-4] [INFO] [1698531225.219364586] [nurse]: Starting Nurse server
trials-all-1  | [coordinator-2] [INFO] [1698531225.243438139] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698531225.249544279] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698531225.270077750] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698531225.274811859] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698531225.338960331] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698531225.375087160] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698531225.383166346] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698531225.421848234] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698531225.475909475] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698531225.564438506] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698531225.578231823] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698531226.272055723] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531227.284890850] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531228.301323965] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531229.314060902] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531230.327215754] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531231.339640497] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698531232.348963077] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531233.360430612] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531234.376788164] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698531234.611472358] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698531234.629963767] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698531235.397003707] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531236.418922193] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531237.019789381] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698531237.050422051] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698531237.064634362] [coordinator]: Planing
