 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-31-12-798491-077f26234ba7-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698539476.499093537] [coordinator]: Starting Coordinator server
trials-all-1  | [nurse-4] [INFO] [1698539476.508306455] [nurse]: Starting Nurse server
trials-all-1  | [coordinator-2] [INFO] [1698539476.543794139] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698539476.557784014] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698539476.560373991] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698539476.565371946] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698539476.653188164] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698539476.678864935] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698539476.685353877] [arm]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698539476.709609661] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698539476.734281441] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698539476.807082792] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698539476.832036570] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698539476.837149524] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698539476.886673083] [nurse]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698539476.897377988] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698539476.904457925] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698539476.967495363] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698539477.594142779] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539478.606657757] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539479.622331707] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539480.633952694] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539481.647532664] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539482.660857637] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698539483.673318618] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539484.695482513] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539485.708126494] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539486.722128463] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698539486.752958189] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698539486.776408980] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698539487.734184450] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539488.586490860] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698539488.622925536] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698539488.631607458] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698539488.642646360] [coordinator]: Planing
