 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-30-33-612206-2dc5ab29e2ac-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [arm-1] [INFO] [1698539437.609017458] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698539437.642300996] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698539437.656172804] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698539437.660723741] [coordinator]: Starting Coordinator server
trials-all-1  | [nurse-4] [INFO] [1698539437.693695284] [nurse]: Starting Nurse server
trials-all-1  | [coordinator-2] [INFO] [1698539437.718937934] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698539437.726291832] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698539437.727740812] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698539437.748642522] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698539437.777832118] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698539437.808892687] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698539437.984103258] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698539438.021525740] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698539438.042074455] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698539438.049717349] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698539438.067231107] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698539438.098701671] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698539438.204035212] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698539438.755213577] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539439.773890475] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539440.791083404] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539441.810250316] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539442.826503280] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539443.843695240] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698539444.860913211] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539445.878043193] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539446.895010189] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698539447.382042486] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698539447.397523273] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698539447.911243204] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539448.933978141] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698539449.510948213] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698539449.643794388] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698539449.648264326] [coordinator]: Sending response
