 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-08-06-488448-1658a15bfee8-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [arm-1] [INFO] [1698527290.554109299] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698527290.587804161] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698527290.593457137] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698527290.715825636] [coordinator]: Starting Coordinator server
trials-all-1  | [environment-3] [INFO] [1698527290.745394515] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698527290.814004233] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698527290.830276167] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698527290.834209150] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698527291.015813404] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698527291.053778241] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698527291.062668203] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698527291.117840967] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698527291.169471745] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698527291.178278707] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698527291.230975482] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698527291.385185820] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698527291.402573746] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698527291.422455661] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698527291.876220715] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527292.891827196] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527293.907227486] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527294.922092586] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527295.934538507] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527296.947321236] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698527297.961835766] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527298.971625133] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527299.985673287] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698527300.729041865] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698527300.749444743] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698527300.997889264] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527302.017871002] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527302.616684217] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698527302.652713989] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698527302.663132924] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698527302.674723850] [coordinator]: Planing
