 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-07-26-875279-b0a4376ada8d-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [53]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [55]
trials-all-1  | [INFO] [environment-3]: process started with pid [57]
trials-all-1  | [INFO] [nurse-4]: process started with pid [59]
trials-all-1  | [INFO] [planner-5]: process started with pid [61]
trials-all-1  | [INFO] [robot-6]: process started with pid [63]
trials-all-1  | [coordinator-2] [INFO] [1698527250.794931903] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698527250.846886350] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698527250.857230434] [coordinator]: Starting Coordinator clients
trials-all-1  | [environment-3] [INFO] [1698527250.921903215] [environment]: Starting Environment server
trials-all-1  | [robot-6] [INFO] [1698527250.951989369] [robot]: Starting Robot server
trials-all-1  | [environment-3] [INFO] [1698527250.961181333] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698527250.963033527] [arm]: Starting Arm server
trials-all-1  | [robot-6] [INFO] [1698527251.006132044] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698527251.013072766] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698527251.013651827] [nurse]: Starting Nurse server
trials-all-1  | [arm-1] [INFO] [1698527251.020123500] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698527251.024957003] [arm]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698527251.057717411] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698527251.094479236] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698527251.099835793] [arm]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698527251.138230788] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698527251.152213243] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698527251.171362235] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698527251.891594169] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527252.913420755] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527253.930630039] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527254.949240644] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527255.965597204] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527256.981921950] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698527257.994496514] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527259.006924261] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527260.020993364] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698527260.914752030] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698527260.942903760] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698527261.032673443] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527262.053630618] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527262.709139173] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698527262.749310007] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698527262.759972024] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698527262.772980266] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698527262.784964409] [coordinator]: Sending response
trials-all-1  | [planner-5] [INFO] [1698527262.795430408] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [nurse-4] [INFO] [1698527262.802736105] [nurse]: Request response:Okay!
trials-all-1  | [planner-5] [INFO] [1698527262.808051612] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698527262.823364074] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698527262.832972991] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698527262.843317978] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698527262.856900274] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698527262.860790645] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698527262.870771598] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698527262.877091201] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698527262.880608536] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698527262.885598013] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698527262.909155261] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698527262.917105019] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698527262.925422813] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698527262.935755799] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698527262.940308234] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527262.943932579] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698527262.962525354] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527262.972199277] [coordinator]: a_authenticate_nurse,robot1,nurse1
